County,tot_change,Natural,Births,Deaths,Migration_otal,International,Domestic
".Rush County, Indiana",-811,-68,1713,1781,-746,17,-763
".St. Joseph County, Indiana",4912,8498,32418,23920,-3494,5168,-8662
".Scott County, Indiana",-322,-272,2583,2855,-44,107,-151
".Shelby County, Indiana",350,484,4662,4178,-102,196,-298
".Spencer County, Indiana",-678,159,2006,1847,-837,-11,-826
".Starke County, Indiana",-367,-89,2445,2534,-259,-18,-241
".Steuben County, Indiana",447,494,3433,2939,-15,83,-98
".Sullivan County, Indiana",-806,-119,2058,2177,-685,-11,-674
".Switzerland County, Indiana",64,164,1134,970,-102,82,-184
".Tippecanoe County, Indiana",22929,10200,20968,10768,12787,15417,-2630
".Tipton County, Indiana",-788,-208,1377,1585,-588,35,-623
".Union County, Indiana",-462,8,662,654,-471,-60,-411
".Vanderburgh County, Indiana",1750,2797,20591,17794,-879,1416,-2295
".Vermillion County, Indiana",-712,-440,1515,1955,-272,89,-361
".Vigo County, Indiana",-814,1057,11740,10683,-1820,1487,-3307
".Wabash County, Indiana",-1892,-796,3112,3908,-1092,66,-1158
".Warren County, Indiana",-246,92,818,726,-337,25,-362
".Warrick County, Indiana",3309,888,5969,5081,2459,505,1954
".Washington County, Indiana",-218,107,2928,2821,-315,10,-325
".Wayne County, Indiana",-3112,-628,7229,7857,-2466,303,-2769
".Wells County, Indiana",659,575,3153,2578,99,210,-111
".White County, Indiana",-536,150,2702,2552,-672,170,-842
".Whitley County, Indiana",677,825,3664,2839,-127,102,-229
".Adair County, Iowa",-530,-276,680,956,-254,16,-270
".Adams County, Iowa",-427,-61,380,441,-373,0,-373
".Allamakee County, Iowa",-641,171,1697,1526,-813,215,-1028
".Appanoose County, Iowa",-461,-230,1337,1567,-221,17,-238
".Audubon County, Iowa",-623,-173,566,739,-449,9,-458
".Benton County, Iowa",-424,486,2676,2190,-915,62,-977
".Black Hawk County, Iowa",142,4631,15771,11140,-4405,2573,-6978
".Boone County, Iowa",-74,-53,2684,2737,-3,-90,87
".Bremer County, Iowa",782,409,2404,1995,394,239,155
".Buchanan County, Iowa",222,692,2608,1916,-456,55,-511
".Buena Vista County, Iowa",-645,1190,2886,1696,-1846,721,-2567
".Butler County, Iowa",-430,-315,1380,1695,-105,84,-189
".Calhoun County, Iowa",-509,-281,1003,1284,-225,34,-259
".Carroll County, Iowa",-651,148,2376,2228,-801,59,-860
".Cass County, Iowa",-1116,-459,1336,1795,-648,49,-697
".Cedar County, Iowa",186,82,1712,1630,116,43,73
".Cerro Gordo County, Iowa",-1703,-357,4299,4656,-1330,233,-1563
".Cherokee County, Iowa",-832,-320,1154,1474,-516,34,-550
".Chickasaw County, Iowa",-509,71,1303,1232,-580,46,-626
".Clarke County, Iowa",109,156,1156,1000,-39,123,-162
".Clay County, Iowa",-651,91,1830,1739,-737,39,-776
".Clayton County, Iowa",-579,-69,1742,1811,-504,76,-580
".Clinton County, Iowa",-2688,67,5191,5124,-2772,245,-3017
".Crawford County, Iowa",-276,663,2183,1520,-942,396,-1338
".Dallas County, Iowa",27314,7256,11217,3961,19811,2020,17791
".Davis County, Iowa",247,545,1333,788,-296,0,-296
".Decatur County, Iowa",-586,17,879,862,-604,67,-671
".Delaware County, Iowa",-759,284,1872,1588,-1048,65,-1113
".Des Moines County, Iowa",-1358,-13,4234,4247,-1333,168,-1501
".Dickinson County, Iowa",591,-369,1473,1842,974,59,915
".Dubuque County, Iowa",3668,2707,11009,8302,1034,815,219
".Emmet County, Iowa",-1094,-138,1009,1147,-962,139,-1101
".Fayette County, Iowa",-1232,-339,1975,2314,-897,199,-1096
".Floyd County, Iowa",-651,10,1763,1753,-653,71,-724
".Franklin County, Iowa",-610,25,1130,1105,-641,55,-696
".Fremont County, Iowa",-478,-105,721,826,-379,22,-401
".Greene County, Iowa",-449,-141,967,1108,-307,5,-312
".Grundy County, Iowa",-221,-32,1202,1234,-183,3,-186
".Guthrie County, Iowa",-266,-126,1000,1126,-134,44,-178
".Hamilton County, Iowa",-902,48,1654,1606,-957,62,-1019
".Hancock County, Iowa",-708,-116,1040,1156,-592,26,-618
".Hardin County, Iowa",-688,-326,1678,2004,-344,128,-472
".Harrison County, Iowa",-888,-226,1452,1678,-669,-8,-661
".Henry County, Iowa",-191,128,2108,1980,-329,146,-475
".Howard County, Iowa",-406,66,1087,1021,-470,-8,-462
".Humboldt County, Iowa",-256,-76,994,1070,-175,51,-226
".Ida County, Iowa",-229,-181,713,894,-45,17,-62
".Iowa County, Iowa",-172,78,1723,1645,-243,-24,-219
".Jackson County, Iowa",-414,-121,1969,2090,-281,13,-294
".Jasper County, Iowa",343,327,3821,3494,38,73,-35
".Jefferson County, Iowa",1455,-116,1403,1519,1572,2195,-623
".Johnson County, Iowa",20258,10171,16549,6378,10086,7821,2265
".Jones County, Iowa",45,82,1924,1842,-29,135,-164
".Keokuk County, Iowa",-264,80,1134,1054,-344,37,-381
".Kossuth County, Iowa",-732,-143,1534,1677,-582,59,-641
".Lee County, Iowa",-2205,-214,3745,3959,-1984,16,-2000
".Linn County, Iowa",15463,9740,25595,15855,5939,2948,2991
".Louisa County, Iowa",-352,275,1250,975,-635,321,-956
".Lucas County, Iowa",-300,-23,965,988,-273,12,-285
".Lyon County, Iowa",174,529,1571,1042,-355,27,-382
".Madison County, Iowa",657,145,1528,1383,513,71,442
".Mahaska County, Iowa",-287,462,2573,2111,-740,211,-951
".Marion County, Iowa",-54,258,3364,3106,-306,100,-406
".Marshall County, Iowa",-1279,547,4962,4415,-1836,986,-2822
".Mills County, Iowa",50,140,1380,1240,-89,11,-100
".Mitchell County, Iowa",-190,-90,1143,1233,-88,22,-110
".Monona County, Iowa",-627,-529,807,1336,-93,13,-106
".Monroe County, Iowa",-265,-157,795,952,-100,41,-141
".Montgomery County, Iowa",-823,-305,1063,1368,-518,22,-540
".Muscatine County, Iowa",-139,1349,5002,3653,-1485,728,-2213
".O'Brien County, Iowa",-645,-200,1541,1741,-439,35,-474
".Osceola County, Iowa",-504,-8,635,643,-502,48,-550
".Page County, Iowa",-839,-372,1514,1886,-462,59,-521
".Palo Alto County, Iowa",-535,-197,965,1162,-337,150,-487
".Plymouth County, Iowa",193,370,2621,2251,-169,193,-362
".Pocahontas County, Iowa",-691,-170,699,869,-528,14,-542
".Polk County, Iowa",59530,31684,62852,31168,27787,9408,18379
".Pottawattamie County, Iowa",57,2557,10919,8362,-2463,206,-2669
".Poweshiek County, Iowa",-411,-401,1628,2029,-7,261,-268
".Ringgold County, Iowa",-236,-206,503,709,-29,13,-42
".Sac County, Iowa",-629,-256,1022,1278,-365,0,-365
".Scott County, Iowa",7720,6630,20277,13647,1166,1703,-537
".Shelby County, Iowa",-715,-260,1085,1345,-451,28,-479
".Sioux County, Iowa",1151,2327,4653,2326,-1183,508,-1691
".Story County, Iowa",7575,3824,8517,4693,3709,6437,-2728
".Tama County, Iowa",-913,116,2030,1914,-1028,40,-1068
".Taylor County, Iowa",-196,-7,694,701,-189,50,-239
".Union County, Iowa",-293,-101,1261,1362,-193,78,-271
".Van Buren County, Iowa",-527,-7,830,837,-519,1,-520
".Wapello County, Iowa",-655,294,4056,3762,-928,953,-1881
".Warren County, Iowa",5240,1387,5112,3725,3884,100,3784
".Washington County, Iowa",261,435,2685,2250,-157,41,-198
".Wayne County, Iowa",38,30,809,779,12,8,4
".Webster County, Iowa",-2107,-59,4055,4114,-2056,411,-2467
".Winnebago County, Iowa",-520,-129,1037,1166,-397,21,-418
".Winneshiek County, Iowa",-1067,-76,1594,1670,-990,55,-1045
".Woodbury County, Iowa",932,5214,13896,8682,-4292,1629,-5921
".Worth County, Iowa",-210,-62,716,778,-148,7,-155
".Wright County, Iowa",-667,-108,1407,1515,-558,118,-676
".Allen County, Kansas",-1003,-274,1334,1608,-732,77,-809
".Anderson County, Kansas",-244,10,912,902,-254,-31,-223
".Atchison County, Kansas",-848,143,1809,1666,-996,-15,-981
".Barber County, Kansas",-437,16,553,537,-455,6,-461
".Barton County, Kansas",-1893,372,3123,2751,-2263,31,-2294
".Bourbon County, Kansas",-638,116,1855,1739,-753,138,-891
".Brown County, Kansas",-420,62,1212,1150,-483,3,-486
".Butler County, Kansas",1027,1177,6989,5812,-138,267,-405
".Chase County, Kansas",-142,-77,225,302,-63,0,-63
".Chautauqua County, Kansas",-419,-190,300,490,-229,1,-230
".Cherokee County, Kansas",-1668,-348,2113,2461,-1325,13,-1338
".Cheyenne County, Kansas",-69,-60,284,344,-8,24,-32
".Clark County, Kansas",-221,-75,219,294,-148,0,-148
".Clay County, Kansas",-543,-23,936,959,-519,-2,-517
".Cloud County, Kansas",-747,-229,1013,1242,-518,91,-609
".Coffey County, Kansas",-419,-78,828,906,-339,7,-346
".Comanche County, Kansas",-191,-86,193,279,-109,-5,-104
".Cowley County, Kansas",-1401,91,4055,3964,-1494,337,-1831
".Crawford County, Kansas",-317,659,4479,3820,-970,963,-1933
".Decatur County, Kansas",-138,-126,300,426,-12,22,-34
".Dickinson County, Kansas",-1283,-101,2047,2148,-1183,38,-1221
".Doniphan County, Kansas",-348,6,727,721,-353,27,-380
".Douglas County, Kansas",11433,4907,11149,6242,6564,5122,1442
".Edwards County, Kansas",-239,-33,290,323,-213,27,-240
".Elk County, Kansas",-352,-130,253,383,-227,1,-228
".Ellis County, Kansas",101,934,3252,2318,-840,530,-1370
".Ellsworth County, Kansas",-395,-215,552,767,-180,10,-190
".Finney County, Kansas",-318,4322,6283,1961,-4690,1215,-5905
".Ford County, Kansas",-225,3722,5931,2209,-4000,2131,-6131
".Franklin County, Kansas",-452,491,2894,2403,-936,89,-1025
".Geary County, Kansas",-2686,7279,9176,1897,-10191,1474,-11665
".Gove County, Kansas",-65,-44,304,348,-21,15,-36
".Graham County, Kansas",-106,-100,214,314,-8,30,-38
".Grant County, Kansas",-674,625,1102,477,-1317,-38,-1279
".Gray County, Kansas",-13,372,812,440,-395,110,-505
".Greeley County, Kansas",-16,12,181,169,-30,17,-47
".Greenwood County, Kansas",-707,-305,568,873,-403,0,-403
".Hamilton County, Kansas",-148,119,353,234,-271,136,-407
".Harper County, Kansas",-598,-195,642,837,-401,25,-426
".Harvey County, Kansas",-255,229,3809,3580,-474,358,-832
".Haskell County, Kansas",-288,235,470,235,-532,35,-567
".Hodgeman County, Kansas",-124,2,193,191,-130,56,-186
".Jackson County, Kansas",-289,306,1566,1260,-600,-15,-585
".Jefferson County, Kansas",-65,33,1712,1679,-92,-9,-83
".Jewell County, Kansas",-194,-89,273,362,-104,1,-105
".Johnson County, Kansas",58220,33341,67926,34585,25309,10776,14533
".Kearny County, Kansas",-144,240,566,326,-392,62,-454
".Kingman County, Kansas",-708,-335,728,1063,-373,-10,-363
".Kiowa County, Kansas",-78,70,306,236,-150,22,-172
".Labette County, Kansas",-1991,35,2466,2431,-2042,12,-2054
".Lane County, Kansas",-214,-75,165,240,-138,0,-138
".Leavenworth County, Kansas",5538,3475,8940,5465,2111,1024,1087
".Lincoln County, Kansas",-279,-66,273,339,-216,9,-225
".Linn County, Kansas",47,-147,905,1052,194,2,192
".Logan County, Kansas",35,43,357,314,-6,8,-14
".Lyon County, Kansas",-497,1200,3804,2604,-1729,742,-2471
".McPherson County, Kansas",-644,-404,3016,3420,-236,66,-302
".Marion County, Kansas",-776,-446,1055,1501,-331,64,-395
".Marshall County, Kansas",-410,-34,1111,1145,-371,25,-396
".Meade County, Kansas",-542,61,493,432,-615,68,-683
".Miami County, Kansas",1456,766,3403,2637,690,60,630
".Mitchell County, Kansas",-394,-117,709,826,-278,43,-321
".Montgomery County, Kansas",-3639,-182,3828,4010,-3488,564,-4052
".Morris County, Kansas",-303,-100,592,692,-204,47,-251
".Morton County, Kansas",-646,26,338,312,-679,5,-684
".Nemaha County, Kansas",53,170,1320,1150,-108,26,-134
".Neosho County, Kansas",-504,100,1921,1821,-602,261,-863
".Ness County, Kansas",-357,-144,268,412,-210,60,-270
".Norton County, Kansas",-308,-79,494,573,-230,5,-235
".Osage County, Kansas",-345,-232,1557,1789,-108,25,-133
".Osborne County, Kansas",-440,-135,400,535,-303,26,-329
".Ottawa County, Kansas",-387,-135,505,640,-253,13,-266
".Pawnee County, Kansas",-557,-92,639,731,-464,-14,-450
".Phillips County, Kansas",-406,-124,538,662,-282,10,-292
".Pottawatomie County, Kansas",2775,1726,3335,1609,1062,95,967
".Pratt County, Kansas",-489,125,1177,1052,-613,50,-663
".Rawlins County, Kansas",11,-75,261,336,90,41,49
".Reno County, Kansas",-2513,-250,6619,6869,-2229,229,-2458
".Republic County, Kansas",-344,-344,456,800,3,36,-33
".Rice County, Kansas",-545,-30,1080,1110,-512,87,-599
".Riley County, Kansas",3102,6187,9366,3179,-3361,6213,-9574
".Rooks County, Kansas",-261,-46,547,593,-214,13,-227
".Rush County, Kansas",-271,-186,277,463,-85,3,-88
".Russell County, Kansas",-111,-74,754,828,-33,-45,12
".Saline County, Kansas",-1380,1827,6780,4953,-3191,178,-3369
".Scott County, Kansas",-113,73,565,492,-184,18,-202
".Sedgwick County, Kansas",17686,28293,68226,39933,-10369,8377,-18746
".Seward County, Kansas",-1522,2838,4026,1188,-4402,958,-5360
".Shawnee County, Kansas",-1068,4455,21076,16621,-5449,1593,-7042
".Sheridan County, Kansas",-23,-10,259,269,-11,12,-23
".Sherman County, Kansas",-93,67,715,648,-161,-16,-145
".Smith County, Kansas",-270,-202,338,540,-68,0,-68
".Stafford County, Kansas",-283,-65,454,519,-218,0,-218
".Stanton County, Kansas",-230,95,274,179,-330,65,-395
".Stevens County, Kansas",-241,292,709,417,-543,198,-741
".Sumner County, Kansas",-1301,70,2479,2409,-1377,94,-1471
".Thomas County, Kansas",-125,381,1052,671,-513,74,-587
".Trego County, Kansas",-203,-140,275,415,-62,10,-72
".Wabaunsee County, Kansas",-124,175,753,578,-301,24,-325
".Wallace County, Kansas",33,16,172,156,15,1,14
".Washington County, Kansas",-388,-13,650,663,-379,29,-408
".Wichita County, Kansas",-115,37,252,215,-153,8,-161
".Wilson County, Kansas",-881,-84,1038,1122,-798,8,-806
".Woodson County, Kansas",-171,-134,312,446,-40,0,-40
".Wyandotte County, Kansas",7906,11989,24708,12719,-3972,5392,-9364
".Adair County, Kentucky",543,74,1880,1806,460,38,422
".Allen County, Kentucky",1357,228,2290,2062,1141,13,1128
".Anderson County, Kentucky",1285,370,2355,1985,930,67,863
".Ballard County, Kentucky",-358,-209,752,961,-146,13,-159
".Barren County, Kentucky",2088,559,5101,4542,1555,200,1355
".Bath County, Kentucky",913,265,1586,1321,650,3,647
".Bell County, Kentucky",-2659,-402,3168,3570,-2268,23,-2291
".Boone County, Kentucky",14771,8070,15657,7587,6779,1684,5095
".Bourbon County, Kentucky",-220,54,2053,1999,-260,139,-399
".Boyd County, Kentucky",-2816,-341,5273,5614,-2460,-52,-2408
".Boyle County, Kentucky",1617,-25,2891,2916,1614,121,1493
".Bracken County, Kentucky",-183,76,940,864,-256,29,-285
".Breathitt County, Kentucky",-1246,-248,1560,1808,-1001,17,-1018
".Breckinridge County, Kentucky",424,-38,2099,2137,467,38,429
".Bullitt County, Kentucky",7368,1899,7243,5344,5462,-14,5476
".Butler County, Kentucky",182,50,1423,1373,139,56,83
".Caldwell County, Kentucky",-242,-156,1362,1518,-76,-7,-69
".Calloway County, Kentucky",1811,-85,3545,3630,1896,1131,765
".Campbell County, Kentucky",3246,2571,10383,7812,718,825,-107
".Carlisle County, Kentucky",-337,-24,586,610,-311,12,-323
".Carroll County, Kentucky",-176,246,1434,1188,-433,62,-495
".Carter County, Kentucky",-924,359,3256,2897,-1268,61,-1329
".Casey County, Kentucky",199,35,1800,1765,176,-23,199
".Christian County, Kentucky",-3479,8087,13630,5543,-11638,2051,-13689
".Clark County, Kentucky",660,166,3943,3777,512,-12,524
".Clay County, Kentucky",-1828,74,2529,2455,-1923,39,-1962
".Clinton County, Kentucky",-49,-137,1070,1207,93,81,12
".Crittenden County, Kentucky",-509,-248,912,1160,-250,-8,-242
".Cumberland County, Kentucky",-235,-212,705,917,-19,22,-41
".Daviess County, Kentucky",4870,2815,12302,9487,2147,1078,1069
".Edmonson County, Kentucky",-27,-262,1015,1277,238,-1,239
".Elliott County, Kentucky",-333,-46,632,678,-292,2,-294
".Estill County, Kentucky",-573,-372,1409,1781,-196,4,-200
".Fayette County, Kentucky",27282,15884,36974,21090,11525,10446,1079
".Fleming County, Kentucky",235,213,1809,1596,32,-8,40
".Floyd County, Kentucky",-3861,-415,4427,4842,-3557,66,-3623
".Franklin County, Kentucky",1723,515,5414,4899,1250,545,705
".Fulton County, Kentucky",-844,-249,676,925,-606,2,-608
".Gallatin County, Kentucky",283,150,1061,911,133,65,68
".Garrard County, Kentucky",761,153,1730,1577,614,5,609
".Grant County, Kentucky",414,1235,3374,2139,-824,-92,-732
".Graves County, Kentucky",115,525,4645,4120,-394,442,-836
".Grayson County, Kentucky",678,17,3018,3001,678,22,656
".Green County, Kentucky",-314,-238,1048,1286,-74,21,-95
".Greenup County, Kentucky",-1808,-750,3514,4264,-1037,-27,-1010
".Hancock County, Kentucky",157,260,1024,764,-99,-5,-94
".Hardin County, Kentucky",5421,6006,14248,8242,-721,1840,-2561
".Harlan County, Kentucky",-3268,-543,3336,3879,-2746,21,-2767
".Harrison County, Kentucky",36,-46,2014,2060,92,75,17
".Hart County, Kentucky",841,445,2391,1946,409,42,367
".Henderson County, Kentucky",-1036,406,5053,4647,-1410,-7,-1403
".Henry County, Kentucky",713,46,1654,1608,674,43,631
".Hickman County, Kentucky",-523,-212,370,582,-311,-2,-309
".Hopkins County, Kentucky",-2232,-527,4970,5497,-1687,189,-1876
".Jackson County, Kentucky",-161,-30,1502,1532,-130,-5,-125
".Jefferson County, Kentucky",25682,21104,91883,70779,5286,18109,-12823
".Jessamine County, Kentucky",5535,2081,6113,4032,3461,808,2653
".Johnson County, Kentucky",-1171,-208,2592,2800,-953,-20,-933
".Kenton County, Kentucky",7270,7880,21327,13447,-476,879,-1355
".Knott County, Kentucky",-1558,-342,1564,1906,-1219,3,-1222
".Knox County, Kentucky",-743,33,3707,3674,-765,75,-840
".Larue County, Kentucky",217,-65,1468,1533,289,-7,296
".Laurel County, Kentucky",1964,1219,6807,5588,799,66,733
".Lawrence County, Kentucky",-542,-74,1855,1929,-457,82,-539
".Lee County, Kentucky",-484,-235,682,917,-310,4,-314
".Leslie County, Kentucky",-1433,-305,1186,1491,-1136,-14,-1122
".Letcher County, Kentucky",-2958,-506,2513,3019,-2478,24,-2502
".Lewis County, Kentucky",-608,-76,1456,1532,-528,-9,-519
".Lincoln County, Kentucky",-187,386,3037,2651,-564,-9,-555
".Livingston County, Kentucky",-325,-265,924,1189,-57,10,-67
".Logan County, Kentucky",270,374,3214,2840,-94,-9,-85
".Lyon County, Kentucky",-109,-552,492,1044,438,-9,447
".McCracken County, Kentucky",-121,-247,7177,7424,193,23,170
".McCreary County, Kentucky",-1075,112,2039,1927,-1193,-17,-1176
".McLean County, Kentucky",-333,-107,1012,1119,-224,18,-242
".Madison County, Kentucky",10074,2439,9227,6788,7561,649,6912
".Magoffin County, Kentucky",-1172,-59,1391,1450,-1119,15,-1134
".Marion County, Kentucky",-562,300,2230,1930,-896,78,-974
".Marshall County, Kentucky",-348,-1009,2907,3916,681,57,624
".Martin County, Kentucky",-1734,-137,1161,1298,-1612,-7,-1605
".Mason County, Kentucky",-420,-4,1942,1946,-414,83,-497
".Meade County, Kentucky",-41,263,2481,2218,-352,324,-676
".Menifee County, Kentucky",180,-74,652,726,251,-5,256
".Mercer County, Kentucky",622,-131,2309,2440,768,175,593
".Metcalfe County, Kentucky",-45,18,1187,1169,-61,0,-61
".Monroe County, Kentucky",-313,-199,1213,1412,-112,37,-149
".Montgomery County, Kentucky",1650,870,3478,2608,796,-54,850
".Morgan County, Kentucky",-612,-178,1175,1353,-457,45,-502
".Muhlenberg County, Kentucky",-877,-318,3199,3517,-550,-13,-537
".Nelson County, Kentucky",2792,1701,5337,3636,1114,-39,1153
".Nicholas County, Kentucky",140,-81,826,907,224,2,222
".Ohio County, Kentucky",140,119,2710,2591,44,-5,49
".Oldham County, Kentucky",6443,1475,5088,3613,4975,251,4724
".Owen County, Kentucky",64,-51,973,1024,117,1,116
".Owsley County, Kentucky",-340,-197,498,695,-150,-3,-147
".Pendleton County, Kentucky",-284,179,1588,1409,-460,28,-488
".Perry County, Kentucky",-2939,-355,3523,3878,-2608,99,-2707
".Pike County, Kentucky",-7153,-1228,6279,7507,-5973,36,-6009
".Powell County, Kentucky",-254,-72,1469,1541,-182,18,-200
".Pulaski County, Kentucky",1918,-475,6922,7397,2449,225,2224
".Robertson County, Kentucky",-174,-80,214,294,-97,0,-97
".Rockcastle County, Kentucky",-361,-219,1635,1854,-138,9,-147
".Rowan County, Kentucky",1124,422,2541,2119,676,50,626
".Russell County, Kentucky",358,-191,1986,2177,561,139,422
".Scott County, Kentucky",9908,2859,6190,3331,6981,339,6642
".Shelby County, Kentucky",7053,2146,5437,3291,4888,855,4033
".Simpson County, Kentucky",1243,287,2085,1798,958,67,891
".Spencer County, Kentucky",2209,525,1780,1255,1684,53,1631
".Taylor County, Kentucky",1258,344,3053,2709,912,310,602
".Todd County, Kentucky",-169,407,1638,1231,-580,84,-664
".Trigg County, Kentucky",324,-189,1380,1569,515,6,509
".Trimble County, Kentucky",-338,21,866,845,-360,-5,-355
".Union County, Kentucky",-626,-49,1512,1561,-613,-31,-582
".Warren County, Kentucky",19115,5933,14838,8905,13144,4586,8558
".Washington County, Kentucky",382,25,1297,1272,353,123,230
".Wayne County, Kentucky",-480,28,2144,2116,-498,19,-517
".Webster County, Kentucky",-679,-50,1516,1566,-629,70,-699
".Whitley County, Kentucky",631,673,5113,4440,-30,73,-103
".Wolfe County, Kentucky",-198,-97,844,941,-108,-20,-88
".Woodford County, Kentucky",1788,501,2621,2120,1303,128,1175
".Acadia Parish, Louisiana",258,2099,8105,6006,-1798,276,-2074
".Allen Parish, Louisiana",-120,615,2993,2378,-723,45,-768
".Ascension Parish, Louisiana",19389,8640,15464,6824,10651,637,10014
".Assumption Parish, Louisiana",-1525,308,2380,2072,-1839,78,-1917
".Avoyelles Parish, Louisiana",-1927,551,5061,4510,-2467,143,-2610
".Beauregard Parish, Louisiana",1846,1224,4660,3436,634,263,371
".Bienville Parish, Louisiana",-1112,-317,1565,1882,-794,5,-799
".Bossier Parish, Louisiana",10003,6794,16194,9400,3157,1505,1652
".Caddo Parish, Louisiana",-14710,7559,32854,25295,-22361,964,-23325
".Calcasieu Parish, Louisiana",10664,7719,26075,18356,3091,1169,1922
".Caldwell Parish, Louisiana",-208,19,1164,1145,-221,37,-258
".Cameron Parish, Louisiana",105,213,661,448,-115,-16,-99
".Catahoula Parish, Louisiana",-913,-107,1122,1229,-803,122,-925
".Claiborne Parish, Louisiana",-1525,-270,1490,1760,-1262,37,-1299
".Concordia Parish, Louisiana",-1563,189,2435,2246,-1761,-30,-1731
".De Soto Parish, Louisiana",807,391,3125,2734,434,-8,442
".East Baton Rouge Parish, Louisiana",-466,21116,55762,34646,-21466,7021,-28487
".East Carroll Parish, Louisiana",-898,290,1012,722,-1199,-22,-1177
".East Feliciana Parish, Louisiana",-1125,-293,1934,2227,-828,-5,-823
".Evangeline Parish, Louisiana",-593,967,4427,3460,-1554,583,-2137
".Franklin Parish, Louisiana",-752,144,2648,2504,-888,-11,-877
".Grant Parish, Louisiana",80,349,2299,1950,-253,59,-312
".Iberia Parish, Louisiana",-3257,2900,9613,6713,-6160,608,-6768
".Iberville Parish, Louisiana",-893,642,3634,2992,-1525,16,-1541
".Jackson Parish, Louisiana",-528,-153,1607,1760,-364,-20,-344
".Jefferson Parish, Louisiana",-83,14998,53378,38380,-14923,12099,-27022
".Jefferson Davis Parish, Louisiana",-224,431,3908,3477,-640,41,-681
".Lafayette Parish, Louisiana",22612,14520,30656,16136,8056,2786,5270
".Lafourche Parish, Louisiana",972,3206,11361,8155,-2183,942,-3125
".LaSalle Parish, Louisiana",2,86,1629,1543,-72,87,-159
".Lincoln Parish, Louisiana",2,1711,5230,3519,-1716,1202,-2918
".Livingston Parish, Louisiana",13115,7350,16991,9641,5711,80,5631
".Madison Parish, Louisiana",-1150,317,1545,1228,-1488,-2,-1486
".Morehouse Parish, Louisiana",-3105,-145,3309,3454,-2977,19,-2996
".Natchitoches Parish, Louisiana",-1411,1096,4785,3689,-2496,169,-2665
".Orleans Parish, Louisiana",46316,14129,43792,29663,31281,5925,25356
".Ouachita Parish, Louisiana",-455,6347,20561,14214,-6709,658,-7367
".Plaquemines Parish, Louisiana",162,1040,2706,1666,-895,155,-1050
".Pointe Coupee Parish, Louisiana",-1078,183,2512,2329,-1255,25,-1280
".Rapides Parish, Louisiana",-1961,3276,16469,13193,-5181,598,-5779
".Red River Parish, Louisiana",-649,104,1098,994,-754,70,-824
".Richland Parish, Louisiana",-600,318,2481,2163,-909,-4,-905
".Sabine Parish, Louisiana",-342,133,2655,2522,-460,30,-490
".St. Bernard Parish, Louisiana",11347,2751,5911,3160,8406,439,7967
".St. Charles Parish, Louisiana",212,1965,5833,3868,-1766,336,-2102
".St. Helena Parish, Louisiana",-1073,-64,1037,1101,-1017,3,-1020
".St. James Parish, Louisiana",-1005,642,2507,1865,-1652,43,-1695
".St. John the Baptist Parish, Louisiana",-2973,1531,5289,3758,-4584,404,-4988
".St. Landry Parish, Louisiana",-1266,2754,11659,8905,-3972,12,-3984
".St. Martin Parish, Louisiana",1309,2258,6640,4382,-919,327,-1246
".St. Mary Parish, Louisiana",-5299,1655,6797,5142,-7020,590,-7610
".St. Tammany Parish, Louisiana",26663,6552,26376,19824,20165,1399,18766
".Tangipahoa Parish, Louisiana",13649,6635,17863,11228,7015,508,6507
".Tensas Parish, Louisiana",-916,37,542,505,-964,-2,-962
".Terrebonne Parish, Louisiana",-1082,5375,14976,9601,-6439,611,-7050
".Union Parish, Louisiana",-666,89,2501,2412,-752,102,-854
".Vermilion Parish, Louisiana",1552,2093,7230,5137,-496,237,-733
".Vernon Parish, Louisiana",-4932,5703,9292,3589,-10769,1613,-12382
".Washington Parish, Louisiana",-946,86,5489,5403,-1009,-116,-893
".Webster Parish, Louisiana",-2867,-260,4608,4868,-2607,46,-2653
".West Baton Rouge Parish, Louisiana",2680,1444,3304,1860,1218,-11,1229
".West Carroll Parish, Louisiana",-774,-138,1171,1309,-629,43,-672
".West Feliciana Parish, Louisiana",-57,10,1132,1122,-65,62,-127
".Winn Parish, Louisiana",-1409,-51,1552,1603,-1362,-21,-1341
".Androscoggin County, Maine",568,1802,11771,9969,-1187,1143,-2330
".Aroostook County, Maine",-4818,-1939,6050,7989,-2875,369,-3244
".Cumberland County, Maine",13313,1683,25655,23972,11817,5893,5924
".Franklin County, Maine",-568,-651,2341,2992,93,100,-7
".Hancock County, Maine",579,-1229,4300,5529,1860,573,1287
".Kennebec County, Maine",148,-1372,10840,12212,1623,543,1080
".Knox County, Maine",38,-1095,3129,4224,1171,278,893
".Lincoln County, Maine",189,-1226,2624,3850,1445,195,1250
".Oxford County, Maine",145,-1299,4653,5952,1481,165,1316
".Penobscot County, Maine",-1783,-1025,13391,14416,-654,829,-1483
".Piscataquis County, Maine",-750,-878,1256,2134,144,73,71
".Sagadahoc County, Maine",569,-233,3061,3294,817,30,787
".Somerset County, Maine",-1738,-973,4398,5371,-736,63,-799
".Waldo County, Maine",928,-420,3285,3705,1382,395,987
".Washington County, Maine",-1476,-1230,2703,3933,-220,332,-552
".York County, Maine",10510,-688,17055,17743,11346,570,10776
".Allegany County, Maryland",-4631,-2211,6173,8384,-2401,550,-2951
".Anne Arundel County, Maryland",41603,25269,63840,38571,16706,8234,8472
