County,tot_change,Natural,Births,Deaths,Migration_otal,International,Domestic
".Wrangell City and Borough, Alaska",137,23,212,189,116,58,58
".Yakutat City and Borough, Alaska",-83,42,65,23,-129,17,-146
".Yukon-Koyukuk Census Area, Alaska",-358,237,778,541,-605,20,-625
".Apache County, Arizona",370,3417,9127,5710,-3067,504,-3571
".Cochise County, Arizona",-5437,2604,14452,11848,-8272,2499,-10771
".Coconino County, Arizona",9050,7792,15157,7365,1238,1311,-73
".Gila County, Arizona",426,-1531,5452,6983,1994,212,1782
".Graham County, Arizona",1625,2507,5180,2673,-910,322,-1232
".Greenlee County, Arizona",1054,711,1254,543,319,134,185
".La Paz County, Arizona",619,-555,1848,2403,1195,611,584
".Maricopa County, Arizona",668049,231005,498625,267620,435347,97949,337398
".Mohave County, Arizona",11999,-9685,16886,26571,21585,-1496,23081
".Navajo County, Arizona",3436,5361,14474,9113,-1895,514,-2409
".Pima County, Arizona",67016,21542,107047,85505,46336,22079,24257
".Pinal County, Arizona",87025,16204,42299,26095,70153,8836,61317
".Santa Cruz County, Arizona",-922,3314,5987,2673,-4313,795,-5108
".Yavapai County, Arizona",24082,-9511,17021,26532,33299,303,32996
".Yuma County, Arizona",18037,14964,28472,13508,2839,7552,-4713
".Arkansas County, Arkansas",-1521,30,2203,2173,-1558,50,-1608
".Ashley County, Arkansas",-2188,-53,2295,2348,-2147,-33,-2114
".Baxter County, Arkansas",421,-2988,3244,6232,3427,20,3407
".Benton County, Arkansas",57793,16626,32527,15901,40819,5544,35275
".Boone County, Arkansas",512,47,4127,4080,494,-82,576
".Bradley County, Arkansas",-742,-176,1219,1395,-572,-11,-561
".Calhoun County, Arkansas",-179,-142,421,563,-36,-2,-34
".Carroll County, Arkansas",931,62,2900,2838,883,307,576
".Chicot County, Arkansas",-1682,-164,1241,1405,-1528,67,-1595
".Clark County, Arkansas",-671,-109,2210,2319,-564,100,-664
".Clay County, Arkansas",-1532,-651,1555,2206,-878,-10,-868
".Cleburne County, Arkansas",-1045,-1222,2216,3438,202,-45,247
".Cleveland County, Arkansas",-736,-156,767,923,-584,-1,-583
".Columbia County, Arkansas",-1095,-173,2647,2820,-949,259,-1208
".Conway County, Arkansas",-421,-73,2299,2372,-327,-1,-326
".Craighead County, Arkansas",13889,5026,13477,8451,8845,1172,7673
".Crawford County, Arkansas",1322,1291,7082,5791,66,314,-248
".Crittenden County, Arkansas",-2952,2556,7190,4634,-5562,-10,-5552
".Cross County, Arkansas",-1459,-38,2007,2045,-1436,16,-1452
".Dallas County, Arkansas",-1115,-261,731,992,-857,8,-865
".Desha County, Arkansas",-1641,13,1491,1478,-1673,60,-1733
".Drew County, Arkansas",-298,322,2165,1843,-637,27,-664
".Faulkner County, Arkansas",12769,5961,14296,8335,6758,916,5842
